Time [s],Phase,Hip Joint Angle (R),Knee Joint Angle (R),Ankle Joint Angle (R),Hip Joint Angle (L),Knee Joint Angle (L),Ankle Joint Angle (L)
0.0,NO PERSON,0,0,0,0,0,0
0.02,NO PERSON,0,0,0,0,0,0
0.03,NO PERSON,0,0,0,0,0,0
0.05,NO PERSON,0,0,0,0,0,0
0.07,NO PERSON,0,0,0,0,0,0
0.08,NO PERSON,0,0,0,0,0,0
0.1,NO PERSON,0,0,0,0,0,0
0.12,NO PERSON,0,0,0,0,0,0
0.13,NO PERSON,0,0,0,0,0,0
0.15,NO PERSON,0,0,0,0,0,0
0.17,NO PERSON,0,0,0,0,0,0
0.18,NO PERSON,0,0,0,0,0,0
0.2,NO PERSON,0,0,0,0,0,0
0.22,NO PERSON,0,0,0,0,0,0
0.24,NO PERSON,0,0,0,0,0,0
0.25,NO PERSON,0,0,0,0,0,0
0.27,NO PERSON,0,0,0,0,0,0
0.29,NO PERSON,0,0,0,0,0,0
0.3,NO PERSON,0,0,0,0,0,0
0.32,NO PERSON,0,0,0,0,0,0
0.34,NO PERSON,0,0,0,0,0,0
0.35,NO PERSON,0,0,0,0,0,0
0.37,NO PERSON,0,0,0,0,0,0
0.39,NO PERSON,0,0,0,0,0,0
0.4,NO PERSON,0,0,0,0,0,0
0.42,NO PERSON,0,0,0,0,0,0
0.44,NO PERSON,0,0,0,0,0,0
0.45,NO PERSON,0,0,0,0,0,0
0.47,NO PERSON,0,0,0,0,0,0
0.49,NO PERSON,0,0,0,0,0,0
0.5,NO PERSON,0,0,0,0,0,0
0.52,NO PERSON,0,0,0,0,0,0
0.54,NO PERSON,0,0,0,0,0,0
0.55,NO PERSON,0,0,0,0,0,0
0.57,NO PERSON,0,0,0,0,0,0
0.59,NO PERSON,0,0,0,0,0,0
0.6,NO PERSON,0,0,0,0,0,0
0.62,NO PERSON,0,0,0,0,0,0
0.64,NO PERSON,0,0,0,0,0,0
0.65,NO PERSON,0,0,0,0,0,0
0.67,NO PERSON,0,0,0,0,0,0
0.69,NO PERSON,0,0,0,0,0,0
0.71,NO PERSON,0,0,0,0,0,0
0.72,NO PERSON,0,0,0,0,0,0
0.74,NO PERSON,0,0,0,0,0,0
0.76,NO PERSON,0,0,0,0,0,0
0.77,NO PERSON,0,0,0,0,0,0
0.79,NO PERSON,0,0,0,0,0,0
0.81,NO PERSON,0,0,0,0,0,0
0.82,NO PERSON,0,0,0,0,0,0
0.84,NO PERSON,0,0,0,0,0,0
0.86,NO PERSON,0,0,0,0,0,0
0.87,NO PERSON,0,0,0,0,0,0
0.89,NO PERSON,0,0,0,0,0,0
0.91,NO PERSON,0,0,0,0,0,0
0.92,NO PERSON,0,0,0,0,0,0
0.94,NO PERSON,0,0,0,0,0,0
0.96,NO PERSON,0,0,0,0,0,0
0.97,NO PERSON,0,0,0,0,0,0
0.99,NO PERSON,0,0,0,0,0,0
1.01,NO PERSON,0,0,0,0,0,0
1.02,NO PERSON,0,0,0,0,0,0
1.04,NO PERSON,0,0,0,0,0,0
1.06,NO PERSON,0,0,0,0,0,0
1.07,NO PERSON,0,0,0,0,0,0
1.09,NO PERSON,0,0,0,0,0,0
1.11,NO PERSON,0,0,0,0,0,0
1.12,NO PERSON,0,0,0,0,0,0
1.14,NO PERSON,0,0,0,0,0,0
1.16,NO PERSON,0,0,0,0,0,0
1.18,NO PERSON,0,0,0,0,0,0
1.19,NO PERSON,0,0,0,0,0,0
1.21,NO PERSON,0,0,0,0,0,0
1.23,NO PERSON,0,0,0,0,0,0
1.24,NO PERSON,0,0,0,0,0,0
1.26,NO PERSON,0,0,0,0,0,0
1.28,NO PERSON,0,0,0,0,0,0
1.29,NO PERSON,0,0,0,0,0,0
1.31,NO PERSON,0,0,0,0,0,0
1.33,NO PERSON,0,0,0,0,0,0
1.34,NO PERSON,0,0,0,0,0,0
1.36,NO PERSON,0,0,0,0,0,0
1.38,NO PERSON,0,0,0,0,0,0
1.39,NO PERSON,0,0,0,0,0,0
1.41,NO PERSON,0,0,0,0,0,0
1.43,NO PERSON,0,0,0,0,0,0
1.44,NO PERSON,0,0,0,0,0,0
1.46,NO PERSON,0,0,0,0,0,0
1.48,NO PERSON,0,0,0,0,0,0
1.49,NO PERSON,0,0,0,0,0,0
1.51,NO PERSON,0,0,0,0,0,0
1.53,NO PERSON,0,0,0,0,0,0
1.54,NO PERSON,0,0,0,0,0,0
1.56,NO PERSON,0,0,0,0,0,0
1.58,NO PERSON,0,0,0,0,0,0
1.6,INITIAL SWING,160,23,75,178,9,68
1.61,LOADING RESPONSE,159,23,75,178,15,66
1.63,LOADING RESPONSE,161,20,76,179,14,65
1.65,LOADING RESPONSE,161,17,77,176,12,63
1.66,LOADING RESPONSE,162,13,82,173,9,64
1.68,INITIAL CONTACT,163,9,83,172,8,64
1.7,INITIAL CONTACT,164,9,79,169,6,66
1.71,INITIAL CONTACT,164,8,76,166,5,67
1.73,INITIAL CONTACT,163,8,77,165,5,67
1.75,INITIAL CONTACT,162,7,78,163,4,68
1.76,INITIAL CONTACT,161,7,79,162,2,68
1.78,INITIAL CONTACT,161,7,77,164,4,64
1.8,INITIAL CONTACT,161,7,73,163,2,66
1.81,INITIAL CONTACT,162,7,76,162,1,62
1.83,INITIAL CONTACT,163,7,73,162,2,60
1.85,INITIAL CONTACT,163,8,72,161,3,60
1.86,INITIAL CONTACT,164,7,74,160,4,62
1.88,INITIAL CONTACT,165,7,77,160,7,58
1.9,INITIAL CONTACT,167,7,79,160,8,59
1.91,INITIAL CONTACT,167,7,79,161,9,59
1.93,INITIAL CONTACT,168,7,79,162,11,59
1.95,INITIAL CONTACT,169,7,78,164,15,57
1.96,INITIAL CONTACT,169,6,79,164,14,59
1.98,INITIAL CONTACT,168,7,78,164,15,56
2.0,LOADING RESPONSE,169,9,79,163,18,56
2.01,LOADING RESPONSE,167,12,79,164,18,59
2.03,LOADING RESPONSE,167,14,76,165,21,61
2.05,LOADING RESPONSE,167,16,78,165,26,63
2.07,LOADING RESPONSE,169,16,79,166,29,66
2.08,LOADING RESPONSE,168,16,82,170,37,64
2.1,LOADING RESPONSE,168,16,81,174,42,64
2.12,LOADING RESPONSE,167,19,80,175,43,67
2.13,PRE-SWING,168,19,80,172,41,73
2.15,PRE-SWING,170,18,79,171,43,73
2.17,PRE-SWING,172,17,79,172,50,68
2.18,PRE-SWING,174,16,77,174,57,66
2.2,PRE-SWING,176,13,77,178,64,66
2.22,PRE-SWING,178,9,81,179,64,66
2.23,PRE-SWING,180,7,83,177,66,70
2.25,PRE-SWING,180,8,78,176,65,73
2.27,PRE-SWING,180,8,78,175,65,78
